complex_id_number,structure_name,longitude,latitude,serialid
90100,SSMANIFO,-94.76940277,26.95505833,1
183,A-Hoover Spar,-94.68872137,26.93905139,2
2008,A(Perdido),-94.89791489,26.12890071,3
90320,PLEM 1A,-88.15300616,27.95048235,4
90306,PLET 2A,-88.00646125,28.13529056,5
90241,SS Manifold Ple,-88.15442015,27.94620874,6
90302,SS PLET 1B,-88.152913,27.95048261,7
90227,Manifold,-87.91904604,27.75619661,8
90228,Manifold,-87.92917714,27.6629612,9
90200,Manifold (Jubil,-87.92896867,27.66304828,10
90262,PLET (Well No.2,-87.9288549,27.66290654,11
90244,SSMANIFO Plet,-87.90912649,27.66585175,12
90213,SS Manifold SLE,-89.8163137,27.34802229,13
10560,1,-95.33167611,28.70174511,14
10573,A (STATE),-95.340734,28.701613,15
10570,2,-95.47497,28.659315,16
28003,3,-95.43723598,28.64829818,17
10520,A,-95.43585963,28.64264222,18
10530,4,-95.398311,28.636239,19
10521,A,-95.394782,28.666721,20
10521,A-Aux,-95.39486637,28.66654133,21
28054,A,-95.38228606,28.63838647,22
28018,A,-95.32797877,28.59167515,23
10531,A,-95.379278,28.605005,24
10541,B,-95.342033,28.62587,25
10587,A,-95.42674727,28.59973397,26
10515,1,-95.443615,28.62623,27
10532,2,-95.444061,28.620596,28
10510,3,-95.45866668,28.63062324,29
10555,5,-95.476945,28.630527,30
10504,A,-95.44833216,28.6335001,31
10487,A,-95.486825,28.597849,32
10484,1,-95.596708,28.557493,33
10506,7,-95.54375,28.56245,34
10478,A,-95.567398,28.574104,35
10569,A,-95.49867,28.583114,36
1187,A,-95.40334696,28.55237626,37
1188,B,-95.41791521,28.58427843,38
1042,A,-95.31172188,28.56703785,39
996,B,-95.31738648,28.58491159,40
10537,A,-95.381076,28.54432,41
10550,A,-95.39345,28.537014,42
10488,1,-95.576174,28.549787,43
10281,3,-95.605542,28.538734,44
10254,A,-95.628624,28.511167,45
2080,B,-95.58834532,28.5134997,46
10167,1,-95.678322,28.548845,47
10168,2,-95.673279,28.522001,48
10263,7,-95.6435,28.516346,49
2021,A,-95.67920703,28.5264644,50
10275,1,-95.688223,28.519068,51
10547,A,-95.745375,28.514851,52
10190,A,-95.724447,28.493583,53
10426,1,-95.652007,28.507622,54
10266,A,-95.61776,28.503716,55
10579,A,-95.516277,28.480567,56
10533,1,-95.774327,28.452438,57
10529,2,-95.80611494,28.46220425,58
10526,A,-95.7995224,28.43541934,59
1484,4,-95.87933736,28.39258928,60
1835,5,-95.88750716,28.3903194,61
10464,A,-95.861906,28.396653,62
10469,A,-95.714775,28.413234,63
28060,CAIS.#3,-95.71540893,28.41377498,64
2196,A,-95.33656056,28.37110336,65
10150,A,-95.355173,28.363789,66
1545,B,-95.36218865,28.34995996,67
10598,A,-95.519145,28.359137,68
10525,1,-95.924624,28.360772,69
10492,1,-96.01793,28.383558,70
10002,A-VALVE(DOT),-95.620576,28.314639,71
793,A,-95.45555645,28.32369042,72
10001,A,-95.464728,28.296692,73
10544,A,-95.436377,28.308274,74
28006,A,-95.58529,28.254571,75
74,B,-95.56508722,28.25635349,76
10446,A,-95.875428,28.256515,77
28007,A,-95.969292,28.297182,78
10472,A,-95.928132,28.225036,79
1706,1,-95.62254193,28.23803611,80
10201,A,-95.618914,28.207738,81
10201,B,-95.618613,28.207455,82
10483,A,-95.929743,28.196901,83
10055,A,-95.304179,28.344173,84
10513,A,-95.359425,28.322796,85
1660,B,-95.37106126,28.31364232,86
10189,A,-95.476177,28.26155,87
146,B,-95.48800153,28.27802758,88
10244,A,-95.445527,28.179108,89
10131,A,-95.476307,28.162327,90
1322,B,-95.48295969,28.18099747,91
10146,B,-95.587834,28.180139,92
10146,C,-95.58665893,28.18055398,93
1057,CAIS.#1,-95.56029614,28.16786743,94
10146,D,-95.588306,28.179171,95
10304,JB,-95.590355,28.174288,96
466,JC,-95.57684943,28.17183636,97
945,JD,-95.57739873,28.1715617,98
10157,A,-95.625078,28.200723,99
10180,JA,-95.600755,28.174402,100
10563,A,-95.67837961,28.19383993,101
28043,B,-95.68541014,28.17103161,102
10195,A,-95.750047,28.121484,103
10171,A,-95.715465,28.127085,104
10220,JA,-95.72203,28.14049,105
10239,JB,-95.707873,28.149209,106
874,TEMP.CAIS.#4,-95.65264742,28.11930096,107
10158,A,-95.494868,28.149686,108
10202,A,-95.691984,28.105918,109
1557,B,-95.68861432,28.08602364,110
10215,A,-95.705944,28.105992,111
10231,2,-95.75066,28.108753,112
10203,A,-95.872096,28.057664,113
10203,B,-95.871655,28.057807,114
10589,F,-95.662675,28.035207,115
10424,A,-95.633117,28.053052,116
10462,B,-95.611694,28.053441,117
10296,C,-95.647655,28.062749,118
10508,D,-95.576666,28.070161,119
10509,E,-95.672539,28.027035,120
10061,A,-95.877512,28.014574,121
10037,A,-95.919901,27.971356,122
10037,B,-95.919501,27.971063,123
2049,C,-95.92233581,27.97128605,124
10499,A,-96.033411,27.866942,125
10071,A,-95.987635,27.902779,126
10572,B,-95.965506,27.882169,127
10176,A,-95.94483,27.865589,128
10148,A,-95.989565,27.82282,129
10075,A,-96.036418,27.854496,130
10249,B,-96.013057,27.835135,131
10249,C-AUX,-96.013944,27.835174,132
10461,D,-96.02819,27.838765,133
10249,E,-96.01263,27.835125,134
20475,28 & 23,-90.153957,29.043885,135
22002,31,-90.130117,29.062509,136
21490,42,-90.132965,29.046752,137
20058,43,-90.132851,29.037662,138
22984,50,-90.13835827,29.03503922,139
20454,73,-90.14325841,29.03088732,140
21489,9,-90.139823,29.04718,141
21488,CD,-90.1281068,29.04973204,142
20454,CG,-90.144102,29.031178,143
20058,CK,-90.133077,29.037402,144
20057,FLR,-90.12857435,29.03681098,145
22000,SG,-90.12976746,29.06474938,146
20057,W,-90.1282402,29.0370169,147
21874,12,-90.163615,29.044418,148
20476,13,-90.16256629,29.04702091,149
22893,28,-90.16733382,29.03158338,150
20075,FF,-90.168217,29.036154,151
20075,FLR,-90.1694179,29.03608197,152
20476,KN,-90.16256696,29.04696317,153
20476,KN-Flare Pile,-90.16163782,29.0461298,154
1002,A,-88.99745804,29.47961021,155
1267,B,-88.98995641,29.4777873,156
22103,A,-89.13528886,29.42860338,157
479,B,-89.12387316,29.43138997,158
22958,A,-89.065553,29.433341,159
22958,B,-89.065272,29.433578,160
949,C,-89.06489713,29.43000145,161
641,CAIS.#13,-89.07213756,29.41306509,162
23221,11,-89.056265,29.430049,163
31013,4,-89.03024656,29.45158235,164
22923,C,-89.042631,29.442368,165
622,CAIS.#5,-89.01340139,29.41780761,166
20379,EB,-89.027673,29.423291,167
20378,EC,-89.025404,29.450361,168
20408,F,-89.03855089,29.41360261,169
20453,FA,-89.053794,29.417841,170
20377,4,-88.971906,29.450078,171
24164,8,-89.011032,29.415942,172
22565,BD,-88.97946,29.445134,173
1485,A,-88.7491792,29.96284109,174
1569,2,-88.69551018,29.81590694,175
23070,A,-88.763206,29.822753,176
22754,B,-88.730744,29.784988,177
24192,5,-88.703491,29.808123,178
23068,A,-88.711855,29.771807,179
31032,A,-88.563055,29.78561486,180
23466,A,-88.565785,29.732252,181
23460,A,-88.650133,29.738082,182
22753,A,-88.7088,29.768572,183
22753,C,-88.70836,29.768745,184
1428,D,-88.75218615,29.76029707,185
1352,#2,-88.8022849,29.74482328,186
1551,3,-88.80504175,29.70659803,187
23076,A,-88.79659,29.717963,188
23076,B,-88.79715781,29.71744597,189
1331,1,-88.74597369,29.7014252,190
1519,2,-88.75975478,29.70067294,191
1311,3,-88.7542552,29.70148095,192
23410,A,-88.763464,29.691946,193
23411,1,-88.684386,29.69503,194
1973,A,-88.70352394,29.69551725,195
1972,A,-88.66321592,29.71304531,196
23455,A,-88.542829,29.725172,197
23464,B,-88.552892,29.712446,198
24175,A,-88.42951,29.73740078,199
24172,B,-88.44597325,29.74315289,200
23437,A,-88.493128,29.734515,201
23420,A,-88.519917,29.695893,202
23805,1,-88.473216,29.708365,203
23805,2,-88.47326396,29.70866888,204
2343,A,-88.38333547,29.71974488,205
90287,PLET,-87.78041801,29.22860191,206
90284,Gas PLET #3,-87.77763948,28.89421518,207
90209,SS Manifold,-87.71485289,28.34561447,208
90272,SS PLET,-87.82086664,28.35375351,209
10242,A-Tequila,-94.883731,27.85895,210
10212,A,-94.626023,27.827395,211
10178,A-Cerveza,-94.551311,27.832726,212
10297,A,-94.322836,27.818735,213
90242,SSMANIFO,-95.57315047,27.3466694,214
90316,PLEM B2,-94.64003941,27.39148381,215
90296,PLET C,-94.64007555,27.39150713,216
90282,DRYSDALE PLET H,-94.63328978,27.40051318,217
90233,MANIFOLD H3,-94.628778,27.37267618,218
90253,PIGGING PLET,-94.62756433,27.38608561,219
821,A(NANSEN SPAR),-94.46765355,27.3671371,220
822,A-Boomvang Spar,-94.62531327,27.35356527,221
90311,PLEM DP-1,-94.47291657,27.35429207,222
90304,PLET W Navajo,-94.48850575,27.32189164,223
90224,Subsea Manifold,-94.90837759,27.0175889,224
90102,SSMANIFOLD,-94.87552083,27.03458528,225
90103,PLEM #1,-94.76980555,26.95523222,226
90214,SSMANIFO,-94.72485173,27.02913066,227
90104,SSMANIFO,-94.72472653,27.02907335,228
90308,SSWPLEM #1,-94.76835108,26.95555054,229
22873,1,-93.014002,29.665827,230
23374,1,-92.983444,29.654961,231
24092,3,-93.01388793,29.65773416,232
24082,A,-93.0037211,29.65945369,233
1955,C,-93.01527095,29.68139393,234
20504,1,-92.896584,29.582595,235
20505,1,-92.901823,29.595676,236
23387,12,-92.907313,29.594023,237
2224,13,-92.89578505,29.59149629,238
21492,2,-92.889388,29.585213,239
20503,3,-92.909326,29.598944,240
21491,4,-92.907606,29.589614,241
20499,5,-92.891382,29.592005,242
20506,B,-92.901848,29.605714,243
20507,CF,-92.899719,29.588333,244
27044,CF#2,-92.89972007,29.58838265,245
27035,CG,-92.787603,29.575656,246
