name,Unemployment rate
 Afghanistan,35.1
 Albania,16.9
 Algeria,10.2
 American Samoa (United States),49.9
 Andorra,2.9
 Anguilla (United Kingdom),7.8
 Antigua and Barbuda,11
 Argentina,6.9
 Armenia,17.3
 Aruba (Netherlands),15.7
 Australia,6
 Austria,5.6
 Azerbaijan,5.4
 Bahrain,4.1
 Bangladesh,5
 Barbados,11.5
 Belarus,0.7
 Belgium,8.7
 Belize,12.9
 Bermuda,9
 Bhutan,3.2
 Bolivia,7.3
 Bosnia and Herzegovina,43.9
 Botswana,17.8
 Brazil,7.6
 British Virgin Islands (United Kingdom),3.1
 Brunei,2.7
 Bulgaria,9.5
 Burma,5.1
 Cambodia,1.6
 Cameroon,4.4
 Canada,7.1
 Cape Verde,13.1
 Cayman Islands (United Kingdom),4
 Central African Republic,8
 Chad,22.6
 Chile,6.5
" China, People's Republic of",4.1
 Cocos (Keeling) Islands (Australia),11.3
 Colombia,8.9
 Comoros,20
 Cook Islands,13.1
 Costa Rica,9.7
 Croatia,15.8
 Cuba,2.7
 Cyprus,15.1
 Czech Republic,4.7
 Denmark,6
 Djibouti,60
 Dominica,23
 Dominican Republic,14.4
 East Timor,20
 Ecuador,4.3
 Egypt,8.1
 El Salvador,6.2
 Equatorial Guinea,22.3
 Estonia,6
 European Union,9.1
 Faroe Islands (Denmark),3.1
 Fiji,8.6
 Finland,8.2
 France,10.8
 French Polynesia (France),11.7
 Gabon,21
 Gaza Strip (Palestinian territories),41.5
 Georgia,13.7
 Germany,4.5
 Ghana,3.6
 Gibraltar (United Kingdom),1.8
 Greece,24.5
 Greenland (Denmark),7.8
 Grenada,24.5
 Guam (United States),7.4
 Guatemala,4.1
 Guernsey (United Kingdom),1.5
 Guyana,9
 Honduras,4.3
 Hong Kong,3.3
 Hungary,6.5
 Iceland,4.3
 India,3.6
 Indonesia,5.7
 Iran,11.212
 Iraq,16
 Ireland,8.9
 Isle of Man,1.8
 Israel,5.4
 Italy,11.3
 Jamaica,14.2
 Japan,3.6
 Jersey (United Kingdom),2.7
 Jordan,11.9
 Kazakhstan,6.1
 Kenya,42
 Kiribati,38.2
 Kosovo,30.9
 Kuwait,3
 Kyrgyzstan,8
 Laos,1.4
 Latvia,9.9
 Lebanon,10
 Lesotho,42.7
 Libya,13
 Liechtenstein,2.3
 Lithuania,8.9
 Luxembourg,5.8
 Macau (China),1.9
 Macedonia,25.5
 Malaysia,3.1
 Mali,8.2
 Malta,5.1
 Marshall Islands,36
 Mauritania,31
 Mauritius,7.9
 Mayotte (France),25.4
 Mexico,4.9
 Federated States of Micronesia,22
 Moldova,9.1
 Monaco,2
 Mongolia,7.7
 Montenegro,15
 Montserrat (United Kingdom),6
 Morocco,5.5
 Mozambique,60
 Namibia,28.1
 Nauru,23
   Nepal,46
 Netherlands,6.9
 Netherlands Antilles (Netherlands),10
 New Caledonia (France),17.1
 New Zealand,5.3
 Nicaragua,6
 Nigeria,6.4
 North Korea,25.6
 Northern Mariana Islands (United States),11.2
 Norway,4.6
 Niue,10.7
 Pakistan,6.8
 Palau,4.2
 Panama,5.6
 Papua New Guinea,1.9
 Paraguay,7.3
 Peru,6.1
 Philippines,6
 Poland,7
 Portugal,12.4
 Puerto Rico (United States),13.7
 Qatar,0.4
 Romania,6.8
 Russia,5.5
 Saint Helena (United Kingdom),14
 Saint Kitts and Nevis,5.1
 Saint Lucia,15.7
 Saint Pierre and Miquelon (France),9.9
 Saint Vincent and the Grenadines,18
 San Marino,8.7
 Saudi Arabia,5.6
 Senegal,48
 Serbia,16.8
 Singapore,1.9
 Slovakia,10.7
 Slovenia,9.1
 South Africa,24.3
 South Korea,2.7
 Spain,21.6
 Sri Lanka,4.2
 Sudan,13.6
 Suriname,8.9
 Swaziland,40.6
 Sweden,7.2
  Switzerland,3.5
 Syria,40
 Taiwan,3.62
 Tajikistan,2.4
 Thailand,0.9
 The Bahamas,15
 Tonga,1.1
 Trinidad and Tobago,3.7
 Tunisia,15.2
 Turkey,9.3
 Turkmenistan,3.5
 Turks and Caicos Islands,5.4
 Ukraine,9.4
 United Arab Emirates,4.3
 United Kingdom,5.1
 United States,5
 Uruguay,7.4
 Uzbekistan,8
 Vanuatu,4.6
 Venezuela,6.7
 Vietnam,3.4
 U.S. Virgin Islands (United States),12.3
 Wallis and Futuna (France),12.2
 West Bank (Palestinian territories),15.4
 Yemen,35
 Zambia,15
 Zimbabwe,11.3
